Year;Month;Day;Hour;Temp;Luftfuktighet;Lutftryck;Vikt
2022;7;2;14;21.890344;45.484000;943.065500;115.791864
2022;7;2;15;21.844137;45.646440;945.774745;115.171166
2022;7;2;16;21.661551;45.804500;948.161166;114.677833
2022;7;2;17;21.518620;45.956000;950.296500;114.441525
2022;7;2;18;21.443620;46.066166;951.263333;114.347666
2022;7;2;19;21.030862;46.154166;951.603166;114.279661
2022;7;2;20;20.598448;46.206333;951.108000;114.265535
2022;7;3;8;18.598793;45.647166;938.942500;116.902166
2022;7;3;9;19.608103;45.825666;942.818000;116.558666
2022;7;3;10;19.936034;45.938500;943.700666;116.728474
2022;7;3;11;21.921379;45.939833;942.601333;116.413000
2022;7;3;12;23.024827;46.024666;943.756666;115.862372
2022;7;3;13;23.394655;46.094500;944.728000;115.064166
2022;7;3;14;23.651034;46.221666;947.707666;113.842000
2022;7;3;15;23.449137;46.464745;953.248813;113.351694
2022;7;3;16;23.272586;46.505166;953.558833;113.112000
2022;7;3;17;23.001379;46.535166;953.912166;112.967966
2022;7;3;18;22.647931;46.574833;953.591500;112.734500
2022;7;3;19;22.124482;46.588000;952.359833;112.746000
2022;7;3;20;21.568275;46.601833;951.604333;112.969491
2022;7;3;21;20.989310;46.582166;949.834166;113.372166
2022;7;3;22;20.135344;46.538166;947.479166;114.044237
2022;7;3;23;19.289310;46.442666;944.634333;114.952500
2022;7;4;0;18.362931;46.338813;942.493389;115.542033
2022;7;4;1;17.733793;46.163500;939.212833;116.099000
2022;7;4;2;17.221551;46.009833;936.711500;116.682500
2022;7;4;3;16.350689;45.866333;934.709666;117.382203
2022;7;4;4;16.185689;45.723333;932.318333;118.271500
2022;7;4;5;16.046379;45.618833;930.703500;118.969830
2022;7;4;6;15.691379;45.533333;929.017166;119.762166
2022;7;4;7;16.181206;45.494666;928.416000;120.144333
2022;7;4;8;16.702363;45.479137;928.238448;120.394482
2022;7;4;9;18.300689;45.542833;929.474333;120.334500
2022;7;4;10;23.804137;45.826000;936.706000;118.417627
2022;7;4;11;26.430862;46.279833;947.111500;117.431666
2022;7;4;12;24.586724;46.637166;953.751000;116.716440
2022;7;4;13;22.886724;46.832333;955.313166;116.654333
2022;7;4;14;21.983965;46.914166;954.581166;116.699000
2022;7;4;15;21.800862;46.994915;954.194067;116.821864
2022;7;4;16;21.900701;47.744576;947.967966;116.799830
2022;7;4;17;21.487241;47.294000;954.276666;116.147333
2022;7;4;18;20.883275;47.353333;952.952333;116.043559
2022;7;4;19;20.353103;47.326333;950.900000;116.053333
2022;7;4;20;19.604655;47.299666;948.807666;116.537627
2022;7;4;21;18.642241;47.275833;946.745833;117.235833
2022;7;4;22;17.962758;47.204576;943.822372;117.984915
2022;7;4;23;17.140862;47.094666;940.416833;118.955833
2022;7;5;0;16.054655;46.986166;937.212166;119.710500
2022;7;5;1;15.251379;46.837666;933.424333;120.357627
2022;7;5;2;14.978620;46.695333;930.682500;120.763500
2022;7;5;3;14.772758;46.573833;928.834500;121.008474
2022;7;5;4;14.607758;46.480500;927.695500;121.321500
2022;7;5;5;14.417241;46.390166;926.393666;121.428474
2022;7;5;6;15.515172;46.344000;926.062333;121.528333
2022;7;5;7;19.433448;46.401525;928.080169;121.421000
2022;7;5;8;17.934655;46.500833;930.333000;121.261666
2022;7;5;9;18.395000;47.229322;927.843898;120.703793
2022;7;5;10;20.383275;46.747457;936.806101;119.545166
2022;7;5;11;20.929655;46.937166;941.302166;119.445166
2022;7;5;12;20.087192;47.645084;937.249322;119.206271
2022;7;5;13;19.484482;47.024500;941.240000;119.264915
2022;7;5;14;20.075862;47.098333;941.850333;118.415666
2022;7;5;15;20.443214;47.182093;942.530930;117.825087
2022;7;6;7;17.311754;84.550000;653.630000;121.568305
2022;7;6;8;17.294035;47.216500;921.660000;121.315423
2022;7;6;9;18.905862;46.785500;930.805166;119.975932
2022;7;6;10;21.397241;47.114000;938.195333;118.584500
2022;7;6;11;21.769827;47.371016;943.341355;117.997288
2022;7;6;12;20.732241;47.479666;944.235000;117.833000
2022;7;6;13;20.811551;47.499166;942.943000;117.281166
2022;7;6;14;20.973965;47.568500;943.483833;116.750677
2022;7;6;15;20.434827;47.646833;944.161500;116.775333
2022;7;6;16;20.293965;47.684333;943.833000;117.003559
2022;7;6;17;19.978103;47.843666;946.555500;116.014500
2022;7;6;18;19.467068;47.886833;946.480166;115.856000
2022;7;6;19;19.105517;47.894000;945.536166;116.097796
2022;7;6;20;18.417241;47.862711;943.931525;116.325000
2022;7;6;21;17.633448;47.751333;940.848500;116.684406
2022;7;6;22;16.776724;47.624333;938.012833;117.231500
2022;7;6;23;15.886379;47.506666;935.561833;117.696440
2022;7;7;0;15.163103;47.403833;933.115833;117.970500
2022;7;7;1;14.484137;47.304833;930.566000;118.325833
2022;7;7;2;14.186206;47.181500;927.578833;118.679661
2022;7;7;3;14.205862;47.089166;926.073333;119.076166
2022;7;7;4;14.340344;47.023728;925.140677;119.236949
2022;7;7;5;14.132241;46.977000;924.690500;119.524666
2022;7;7;6;14.102413;46.950833;924.642000;119.836333
2022;7;7;7;14.320000;46.944500;924.526333;120.305932
2022;7;7;8;14.680517;46.936166;924.166666;120.991666
2022;7;7;9;15.369827;46.955333;924.353666;121.441000
2022;7;7;10;16.150000;46.996166;925.242500;121.979322
2022;7;7;11;17.299137;47.093666;927.670166;122.334166
2022;7;7;12;18.676379;47.295500;932.446000;122.219491
2022;7;7;13;18.076379;47.511333;937.234333;122.996166
2022;7;7;14;18.941896;47.618666;939.276666;123.372166
2022;7;7;15;18.221379;47.711016;941.184406;123.896101
2022;7;7;16;18.500701;48.376000;936.756333;124.187288
2022;7;7;17;18.575000;47.829666;941.831500;124.505762
2022;7;7;18;19.022586;47.958000;943.763833;123.894166
2022;7;7;19;18.436724;48.138813;946.083389;123.891525
2022;7;7;20;17.648793;48.292333;946.436833;124.188833
2022;7;7;21;16.943448;48.411166;945.517500;124.666610
2022;7;7;22;16.793793;48.438833;942.875833;125.072166
2022;7;7;23;16.262586;48.444000;940.325000;125.629166
2022;7;8;0;15.690517;48.419500;937.326666;125.855762
2022;7;8;1;15.099482;48.354000;934.864000;126.093166
2022;7;8;2;14.651896;48.293166;932.771333;126.258305
2022;7;8;3;14.185689;48.231016;930.754067;126.448833
2022;7;8;4;13.575689;48.117166;927.876833;126.718833
2022;7;8;5;13.433793;47.996833;925.480166;126.737796
2022;7;8;6;13.728965;47.951500;924.428333;126.686166
2022;7;8;7;14.359137;47.880500;922.884333;126.651525
2022;7;8;8;14.653103;47.876500;923.118500;126.413333
2022;7;8;9;15.695344;47.884500;923.439833;126.099833
2022;7;8;10;17.044482;48.073000;928.095166;125.181525
2022;7;8;11;18.751034;48.286833;932.699333;124.402666
2022;7;8;12;20.759137;48.540833;937.919666;123.551525
2022;7;8;13;21.675000;48.825333;943.466000;122.878500
2022;7;8;14;22.021551;49.037000;947.103500;122.270508
2022;7;8;15;22.188275;49.189661;949.944915;121.740666
2022;7;8;16;22.333793;49.286666;951.359000;121.390333
2022;7;8;17;21.878793;49.281500;952.133500;121.328474
2022;7;8;18;21.202068;49.362500;953.809333;121.226000
2022;7;8;19;20.662068;49.374000;952.478333;121.307457
2022;7;8;20;20.152068;49.345500;950.647833;121.572000
2022;7;8;21;19.246206;49.313666;949.345000;121.741666
2022;7;8;22;18.244827;49.184166;945.335166;122.443728
2022;7;8;23;17.296724;48.973666;941.676500;123.030000
2022;7;9;0;16.698965;48.770677;939.033389;123.489491
2022;7;9;1;16.352586;48.584333;937.350833;123.893666
2022;7;9;2;15.978793;48.448166;935.826666;124.287796
2022;7;9;3;15.583620;48.340500;934.174666;124.698000
2022;7;9;4;15.442068;48.251666;932.444000;125.033000
2022;7;9;5;15.430689;48.185833;931.560166;125.295084
2022;7;9;6;15.406379;48.143166;930.910000;125.174500
2022;7;9;7;16.060000;48.153833;931.550333;125.217118
2022;7;9;8;16.264482;48.232666;932.954500;124.972500
2022;7;9;9;18.797758;48.410833;936.581500;123.352333
2022;7;9;10;21.687413;48.709333;942.546500;121.611694
2022;7;9;11;22.599482;49.113500;949.129666;121.003166
2022;7;9;12;22.503103;49.383333;951.140000;120.355423
2022;7;9;13;21.836551;49.639000;952.389000;119.493833
2022;7;9;14;21.645000;49.783666;952.029166;118.435423
2022;7;9;15;20.849655;49.860169;950.870169;118.011500
2022;7;9;16;20.550689;49.945833;950.960333;117.777333
2022;7;9;17;19.621896;50.054333;949.741333;117.945084
2022;7;9;18;18.879827;50.082333;947.595166;118.105500
2022;7;9;19;18.567931;50.054666;945.453000;118.187288
2022;7;9;20;18.143620;49.977500;943.467000;118.393000
2022;7;9;21;17.486896;49.893666;941.730166;118.660833
2022;7;9;22;17.011724;49.806333;939.787333;118.950000
2022;7;9;23;16.557931;49.707500;937.510000;119.177166
2022;7;10;0;16.101034;49.640677;935.894067;119.287118
2022;7;10;1;15.687241;49.559000;934.117500;119.292500
2022;7;10;2;14.975689;49.464666;932.724333;119.542881
2022;7;10;3;14.422931;49.347000;931.174166;119.916833
2022;7;10;4;13.986896;49.178666;928.979500;120.371833
2022;7;10;5;13.673103;49.042666;927.429833;120.420338
2022;7;10;6;13.810000;48.935666;926.798333;120.132500
2022;7;10;7;14.303448;48.861000;926.737500;120.074915
2022;7;10;8;16.695000;48.888333;928.921000;119.269000
2022;7;10;9;20.267413;49.107500;935.526166;116.941166
2022;7;10;10;24.936206;49.570000;947.216833;115.525762
2022;7;10;11;26.551379;50.053000;957.461666;114.905833
2022;7;10;12;23.927758;50.165500;959.248166;114.635932
2022;7;10;13;22.176551;50.164500;959.392333;114.386833
2022;7;10;14;21.940344;50.143000;958.358833;113.852542
2022;7;10;15;21.522413;50.170169;958.206101;113.795500
2022;7;10;16;20.763103;50.215000;957.532166;113.713833
2022;7;10;17;19.997586;50.197500;956.356166;113.792033
2022;7;10;18;19.638793;50.218666;955.124666;114.104833
2022;7;10;19;19.076724;50.142666;952.513833;114.595254
2022;7;10;20;18.377068;50.032166;950.047166;115.130000
2022;7;10;21;16.786724;49.891333;947.072666;115.611333
2022;7;10;22;16.667586;49.730166;943.816833;116.178644
2022;7;10;23;16.494827;49.576333;940.604000;116.695833
2022;7;11;0;16.286379;49.401525;937.200677;117.249322
2022;7;11;1;15.898793;49.251833;935.639000;117.459333
2022;7;11;2;15.311724;49.138666;934.484000;117.515254
2022;7;11;3;14.775517;49.024833;932.887666;117.680500
2022;7;11;4;14.265000;48.912000;931.281000;117.999166
2022;7;11;5;13.830000;48.791833;929.738000;117.437288
2022;7;11;6;17.031929;48.729666;929.544500;116.721333
2022;7;11;7;22.112413;48.851333;933.707833;115.948813
2022;7;11;8;21.312203;49.145500;941.224000;115.431000
2022;7;11;9;21.978275;49.357833;946.466166;114.841333
2022;7;11;10;26.509137;49.722333;956.689666;114.183050
2022;7;11;11;29.107241;50.052166;965.392833;113.958666
2022;7;11;12;26.015344;50.071333;967.153500;113.987796
2022;7;11;13;24.175517;49.958333;966.247666;113.895333
2022;7;11;14;24.101206;49.820500;965.140166;113.260833
2022;7;11;15;23.489310;50.288474;959.149661;113.302881
2022;7;11;16;22.890862;49.618833;963.255666;113.533050
2022;7;11;17;22.269310;49.492833;961.746500;114.015666
2022;7;11;18;21.448245;49.405000;959.570500;114.449830
2022;7;11;19;20.908448;49.335333;957.212666;114.458833
2022;7;11;20;20.373448;49.281694;955.519661;114.591333
2022;7;11;21;20.277241;49.172333;952.645833;114.736271
2022;7;11;22;19.937241;49.105666;951.632666;115.009166
2022;7;11;23;19.263965;49.012000;949.092833;115.635932
2022;7;12;0;18.481551;48.882333;945.933000;115.778000
2022;7;12;1;17.583620;48.717000;943.004500;115.832333
2022;7;12;2;16.987586;48.512333;940.271166;115.789322
2022;7;12;3;16.625000;48.310500;937.942666;116.026166
2022;7;12;4;16.277586;48.104745;935.727457;116.197796
2022;7;12;5;15.705000;48.002666;935.719833;115.332000
2022;7;12;6;18.915862;47.909166;935.212166;115.026101
2022;7;12;7;24.493793;48.019500;940.549500;114.506333
2022;7;12;8;23.762068;48.317166;949.090500;114.461000
2022;7;12;9;24.327413;48.494166;953.382166;114.519000
2022;7;12;10;29.662241;48.804000;963.207333;114.165423
2022;7;12;11;31.930517;49.111666;972.375833;113.681666
2022;7;12;12;28.409137;49.067666;972.510000;113.567627
2022;7;12;13;26.529655;48.775833;970.636500;112.964333
2022;7;12;14;26.608793;48.577833;971.078500;112.287457
2022;7;12;15;25.924310;48.364915;969.399491;112.861000
2022;7;12;16;25.510350;48.144666;967.956833;113.116610
2022;7;13;8;22.571896;46.468833;947.182000;116.738500
2022;7;13;9;24.119655;46.732833;953.114833;117.155333
2022;7;13;10;26.046034;47.085500;959.569000;118.082033
2022;7;13;11;29.871206;47.385833;965.236000;118.207500
2022;7;13;12;28.337068;47.523166;966.981500;118.370847
2022;7;13;13;26.908620;47.457333;966.368166;118.495166
2022;7;13;14;26.497068;47.331666;965.323500;118.459833
2022;7;13;15;25.835000;47.269491;966.594915;118.276101
2022;7;13;16;25.302241;47.210333;966.358333;118.518500
2022;7;13;17;24.405000;47.078000;964.633833;118.978644
2022;7;13;18;23.615517;46.893166;961.275833;119.621333
2022;7;13;19;22.697241;46.760166;960.083000;119.645254
2022;7;13;20;21.491379;46.568333;955.153500;119.751166
2022;7;13;21;19.996551;46.340333;951.782333;120.110833
2022;7;13;22;18.812413;46.103166;947.397166;120.588135
2022;7;13;23;17.926551;45.899500;944.363833;120.664333
2022;7;14;0;16.961896;45.703559;941.012372;120.502881
2022;7;14;1;16.079827;45.497166;937.802666;120.576333
2022;7;14;2;15.480344;45.315000;935.067000;120.906666
2022;7;14;3;15.099482;45.113500;932.016833;121.242881
2022;7;14;4;14.705172;44.948500;929.719333;121.642666
2022;7;14;5;14.493965;44.853833;929.120333;121.933220
2022;7;14;6;15.924310;44.824833;929.353833;121.520833
2022;7;14;7;17.381724;44.884500;930.816333;120.895084
2022;7;14;8;19.000689;45.001666;932.988166;120.161666
2022;7;14;9;18.816379;45.162333;935.905166;120.231000
2022;7;14;10;21.618620;45.401333;939.940833;120.265593
2022;7;14;11;22.995000;45.750833;945.543166;120.380333
2022;7;14;12;20.741896;45.942666;945.785500;120.980338
2022;7;14;13;20.686724;46.045666;944.928333;121.177000
2022;7;14;14;21.201379;46.149666;944.861166;120.323389
2022;7;14;15;20.214655;46.238474;944.429491;120.570333
2022;7;14;16;19.756724;46.284000;943.589000;120.776333
2022;7;14;17;19.271034;46.331333;943.003000;120.888983
2022;7;14;18;18.972068;46.318666;941.528833;121.122166
2022;7;14;19;18.758103;46.303666;940.649666;121.133220
2022;7;14;20;17.973965;46.330000;940.648666;121.329500
2022;7;14;21;17.307241;46.377833;940.346333;121.635593
2022;7;14;22;16.195172;46.375833;938.535333;121.828500
2022;7;14;23;15.511206;46.375593;936.603389;122.347166
2022;7;15;0;14.956034;46.335166;933.779833;122.611016
2022;7;15;1;14.443620;46.213333;929.704000;122.909666
2022;7;15;2;13.931607;46.741186;922.533898;123.208620
2022;7;15;3;13.764482;45.975333;925.274666;123.320000
2022;7;15;4;13.720689;45.869661;924.233728;123.422166
2022;7;15;5;13.590000;45.789166;923.779500;123.249322
2022;7;15;6;15.727413;45.756000;924.093833;122.686333
2022;7;15;7;18.304482;45.839000;926.827333;122.450847
2022;7;15;8;18.202068;45.995833;930.380166;121.815500
2022;7;15;9;19.002241;46.194500;934.609333;121.384666
2022;7;15;10;23.910517;46.576000;942.508500;120.306610
2022;7;15;11;26.785172;47.073166;952.287000;119.858833
2022;7;15;12;24.503620;47.389666;955.251833;119.959491
2022;7;15;13;22.817931;47.506500;953.740666;119.739000
2022;7;15;14;22.926551;47.584666;953.244000;119.026779
2022;7;15;15;21.800517;47.682881;953.428474;119.084000
2022;7;15;16;21.522413;47.704833;952.305500;119.285166
2022;7;15;17;21.025000;47.709833;951.265166;119.571186
2022;7;15;18;20.378965;47.661000;949.528166;119.939000
2022;7;15;19;19.884482;47.604666;948.658666;120.141355
2022;7;15;20;18.413965;47.526500;946.897500;120.784333
2022;7;15;21;17.200000;47.413833;944.033833;121.317333
2022;7;15;22;16.308620;47.286500;940.674166;121.610508
2022;7;15;23;15.410000;47.170666;937.716666;121.803000
2022;7;16;0;14.669655;46.999322;933.573389;122.128983
2022;7;16;1;14.135862;46.840333;930.438000;122.221333
2022;7;16;2;13.501551;46.695333;928.400166;122.220166
2022;7;16;3;12.991034;46.559333;926.455000;122.415762
2022;7;16;4;12.950344;46.424500;925.009666;122.580666
2022;7;16;5;12.868103;46.289666;923.603166;122.893559
2022;7;16;6;12.463793;46.214333;923.131500;123.206500
2022;7;16;7;12.611551;46.157000;922.252333;123.357288
2022;7;16;8;13.260344;46.194500;922.296666;123.418166
2022;7;16;9;15.210517;46.304333;923.375833;122.938833
2022;7;16;10;19.922413;46.637666;929.073333;121.913898
2022;7;16;11;23.780517;47.185000;938.769000;121.134500
2022;7;16;12;22.613275;47.637833;944.457166;120.658644
2022;7;16;13;20.875862;47.944666;946.853666;120.808500
2022;7;16;14;19.561551;48.158500;947.606000;121.413220
2022;7;16;15;19.689827;48.385084;947.849491;121.466500
2022;7;16;16;20.137413;48.601000;947.370666;121.586500
2022;7;16;17;20.092241;48.769333;946.839166;122.064915
2022;7;16;18;19.647586;48.894000;946.618666;122.146500
2022;7;16;19;18.965517;48.914833;945.163500;122.275423
2022;7;16;20;18.424310;48.891666;943.724166;122.352000
2022;7;16;21;17.899482;48.813500;941.716500;122.645423
2022;7;16;22;17.252413;48.729833;940.556333;122.965166
2022;7;16;23;16.356724;48.600847;938.285254;123.289666
2022;7;17;0;15.560172;48.445833;935.196166;123.464237
2022;7;17;1;14.895000;48.274666;932.179166;123.501833
2022;7;17;2;14.118620;48.100500;929.669500;123.716101
2022;7;17;3;13.515344;47.955333;927.763000;123.853333
2022;7;17;4;13.071896;47.801000;925.574333;124.267166
2022;7;17;5;12.806034;47.662666;923.799000;124.236610
2022;7;17;6;14.291206;47.583833;923.271333;123.853000
2022;7;17;7;15.891896;47.613166;925.248166;123.617118
2022;7;17;8;19.053448;47.764833;929.029000;122.978666
2022;7;17;9;20.886551;48.024166;934.563833;121.950833
2022;7;17;10;21.808275;48.456333;942.899666;121.924745
2022;7;17;11;20.665172;48.760000;945.969500;122.476166
2022;7;17;12;22.678965;48.924666;947.086333;122.794237
2022;7;17;13;22.674137;49.111666;948.652333;122.499000
2022;7;17;14;23.192413;49.280500;949.717666;122.414833
2022;7;17;15;22.676379;49.418305;951.155762;122.323050
2022;7;17;16;22.231551;49.550166;951.949666;122.351666
2022;7;17;17;22.078275;49.583666;951.015166;122.463898
2022;7;17;18;21.502758;49.569166;950.610166;122.562666
2022;7;17;19;21.007068;49.533500;950.310166;122.658983
2022;7;17;20;20.249137;49.499333;949.692166;122.844666
2022;7;17;21;19.320517;49.428166;947.793666;123.505333
2022;7;17;22;18.471724;49.341000;946.082833;124.148305
2022;7;17;23;17.719482;49.198166;943.291333;124.522166
2022;7;18;0;17.341206;49.036949;940.350508;124.643220
2022;7;18;1;17.284137;48.900166;938.718333;124.600500
2022;7;18;2;17.232241;48.789166;937.678666;125.012203
2022;7;18;3;16.886896;48.693500;936.772333;125.335500
2022;7;18;4;16.601379;48.553666;934.776666;125.618500
2022;7;18;5;16.511379;48.466500;934.218166;125.710508
2022;7;18;6;16.455517;48.384500;933.971833;125.789166
2022;7;18;7;16.559310;48.348666;934.047333;126.200000
2022;7;18;8;16.740517;48.386166;935.154500;126.827666
2022;7;18;9;17.064310;48.411500;935.272500;127.166666
2022;7;18;10;18.118103;48.475333;936.042000;127.371864
2022;7;18;11;19.494482;48.606333;937.980500;126.871500
2022;7;18;12;19.599482;48.850666;941.681833;126.667627
2022;7;18;13;19.396551;49.035500;943.188333;127.169833
2022;7;18;14;19.268103;49.231666;944.522833;128.307118
2022;7;18;15;18.930344;49.411016;944.631864;129.162833
2022;7;18;16;19.124827;49.558166;944.710666;129.477833
2022;7;18;17;19.490862;49.686500;945.199333;128.884745
2022;7;18;18;19.735000;49.825666;946.517500;128.500166
2022;7;18;19;20.116379;50.007500;948.050000;128.237966
2022;7;18;20;19.644655;50.201333;948.896000;128.702833
2022;7;18;21;19.121206;50.307500;948.116500;129.434237
2022;7;18;22;18.579655;50.299833;945.340000;130.282666
2022;7;18;23;18.167758;50.161333;941.563500;130.516000
2022;7;19;0;17.872241;50.103220;941.241525;130.639491
2022;7;19;1;17.552758;50.039333;940.794833;130.984833
2022;7;19;2;17.262931;49.940166;939.546333;131.245593
2022;7;19;3;16.906896;49.873166;938.783500;131.579166
2022;7;19;4;16.535172;49.797833;937.741666;131.923666
2022;7;19;5;16.179655;49.762666;937.243333;132.330000
2022;7;19;6;18.800892;50.303050;931.327796;132.617241
2022;7;19;7;22.653275;49.824067;938.741016;132.663666
2022;7;19;8;22.211551;50.030833;942.477166;131.746666
2022;7;19;9;24.084310;50.322833;947.784666;130.038666
2022;7;19;10;29.595000;50.840333;958.839000;128.284745
2022;7;19;11;32.566034;51.453833;971.041833;126.551500
2022;7;19;12;30.094310;51.719666;974.526666;125.530000
2022;7;19;13;28.631034;51.636833;973.618333;124.704000
2022;7;19;14;28.507586;51.497500;973.392833;123.715333
2022;7;19;15;27.736206;51.381694;973.962033;123.678474
2022;7;19;16;27.268793;51.200000;972.707666;123.692333
2022;7;19;17;26.802068;50.994833;971.423833;123.715084
2022;7;19;18;26.444827;50.781000;970.252166;123.899166
2022;7;19;19;26.024655;50.591666;969.716666;123.869322
2022;7;19;20;25.589482;50.487500;969.522166;124.017500
2022;7;19;21;24.981379;50.387333;968.038500;124.356666
2022;7;19;22;23.978793;50.203833;964.611166;124.813728
2022;7;19;23;22.774827;49.996333;961.568833;125.435166
2022;7;20;0;21.856551;49.767457;958.211694;125.648135
2022;7;20;1;21.066206;49.539166;955.443666;125.853166
2022;7;20;2;20.315172;49.309500;952.916333;126.088305
2022;7;20;3;19.626206;49.090333;950.345833;126.388333
2022;7;20;4;18.983965;48.854833;947.219833;126.714833
2022;7;20;5;18.508793;48.659166;945.171666;127.114576
2022;7;20;6;19.662758;48.534333;944.651500;126.922333
2022;7;20;7;22.477241;48.510666;945.493500;126.928305
2022;7;20;8;23.088965;48.577666;947.600333;126.613500
2022;7;20;9;25.742413;48.778000;952.309333;125.798000
2022;7;20;10;30.571034;49.142666;961.426333;124.954745
2022;7;20;11;32.884827;49.498333;969.191500;123.939666
2022;7;20;12;30.937413;49.653000;971.690000;123.448813
2022;7;20;13;29.922586;49.616500;971.521166;122.840666
2022;7;20;14;30.220000;49.576333;972.522333;122.001166
2022;7;20;15;29.648103;49.552711;973.308474;121.826271
2022;7;20;16;29.387758;49.452333;972.971666;121.605166
2022;7;20;17;29.142758;49.321000;972.541500;121.484915
2022;7;20;18;28.720172;49.145833;971.913333;121.588833
2022;7;20;19;28.011034;48.960833;971.614500;121.612203
2022;7;20;20;27.035000;48.750500;970.522000;121.980500
2022;7;20;21;25.700344;48.527333;968.200666;122.474666
2022;7;20;22;24.194482;48.279000;964.816166;122.864745
2022;7;20;23;22.741206;48.023166;961.386333;123.053833
2022;7;21;0;21.469310;47.743728;957.129152;123.136779
2022;7;21;1;20.539310;47.461666;953.393833;123.305666
2022;7;21;2;19.896896;47.202833;950.457166;123.424500
2022;7;21;3;19.459137;46.957166;947.625166;123.728644
2022;7;21;4;19.049655;46.763333;945.663000;124.059500
2022;7;21;5;18.960689;46.639333;944.761500;123.978983
2022;7;21;6;20.251206;46.603000;944.249333;123.318166
2022;7;21;7;22.675263;46.653333;945.153000;123.684237
2022;7;21;8;23.876271;46.820666;947.808500;124.026500
2022;7;21;9;26.550689;47.008333;951.282333;123.703500
2022;7;21;10;31.258448;47.354666;959.282000;123.453050
2022;7;21;11;33.598275;47.721333;967.288000;123.041000
2022;7;21;12;32.225172;47.922666;970.495333;122.614237
2022;7;21;13;31.953793;47.984333;971.495833;122.073500
2022;7;21;14;32.498620;48.046333;973.372500;121.374067
2022;7;21;15;32.169827;48.114576;975.216610;121.009666
2022;7;21;16;31.888620;48.095833;975.613333;120.832166
2022;7;21;17;31.039137;47.996166;975.460000;120.922033
2022;7;21;18;29.675689;47.838666;974.818833;121.357000
2022;7;21;19;28.509137;47.655833;973.782166;121.937966
2022;7;21;20;27.554310;47.458666;971.668333;122.539666
2022;7;21;21;26.582931;47.302333;969.700500;123.170000
2022;7;21;22;25.389310;47.146000;967.100166;123.731833
2022;7;21;23;24.376724;47.008000;964.691166;124.123333
2022;7;22;0;23.522068;46.879661;962.215254;124.393220
2022;7;22;1;22.711551;46.736166;959.536000;124.742500
2022;7;22;2;22.277931;46.622833;957.516333;125.004745
2022;7;22;3;21.669310;46.513500;955.057666;125.546666
2022;7;22;4;21.053275;46.429166;953.030500;126.017833
2022;7;22;5;20.510862;46.368166;951.501833;126.008474
2022;7;22;6;20.181379;46.298166;949.361500;126.453666
2022;7;22;7;20.059310;46.207000;946.844500;127.207627
2022;7;22;8;20.528448;46.180333;945.901166;127.620000
2022;7;22;9;21.402241;46.197166;946.192500;127.720833
2022;7;22;10;22.084655;46.260000;947.097166;128.082881
2022;7;22;11;22.698793;46.349500;948.305000;128.135666
2022;7;22;12;24.221551;46.472333;949.865166;128.100000
2022;7;22;13;24.875344;46.606166;950.569000;111.292166
2022;7;22;14;24.781206;46.621166;948.894333;102.170000
2022;7;22;15;24.215862;46.623220;947.836271;101.771355
2022;7;22;16;23.267068;46.582666;946.044166;101.967166
2022;7;22;17;21.872413;46.420333;941.209166;102.218135
2022;7;22;18;21.163965;46.321833;938.988166;102.432833
